1qf1_5   7.0747
1qf1_10   6.2067
1qf1_27   4.4688
1qf1_29   2.1538
1qf1_30   7.2210
1qf1_36   6.8617
1qf1_47   7.4281
1qf1_63   6.7203
1qf1_65   6.4328
1qf1_68   1.9817
1qf1_69   3.8014
1qf1_76   7.3002
1qf1_104   9.1888
1qf1_118   7.1082
1qf1_127   6.6601
1qf1_132   6.5719
1qf1_141   5.4904
1qf1_144   1.5583
1qf1_148   8.5878
1qf1_151   8.2755
1qf1_161   7.4801
1qf1_163   7.9202
1qf1_188   8.1115
1qf1_189   7.5958
1qf1_195   7.9580
1qf1_198   1.2980
1qf1_200   6.0177
1qf1_232   1.6170
1qf1_244   6.2499
1qf1_301   5.6954
1qf1_310   8.8616
1qf1_314   6.7669
1qf1_322   7.4252
1qf1_337   8.9440
1qf1_345   1.9734
1qf1_351   7.3578
1qf1_370   4.3739
1qf1_375   5.3005
1qf1_377   8.5461
1qf1_380   7.6283
1qf1_382   6.3989
1qf1_383   0.8232
1qf1_385   6.5875
1qf1_386   7.9901
1qf1_389   2.3460
1qf1_397   1.1358
1qf1_399   5.9337
1qf1_409   5.6122
1qf1_419   5.7232
1qf1_421   5.3083
1qf1_424   5.4127
1qf1_425   6.5092
1qf1_434   5.3019
1qf1_436   5.6514
1qf1_438   5.5931
1qf1_441   4.1116
1qf1_448   7.0107
1qf1_450   5.5077
1qf1_466   5.7883
1qf1_470   5.0775
1qf1_482   5.3392
1qf1_483   5.4712
1qf1_486   6.4523
1qf1_488   5.6453
1qf1_490   6.5158
1qf1_500   5.5466
1qf1_507   8.7644
1qf1_524   6.0460
1qf1_536   5.3880
1qf1_565   5.6712
1qf1_569   6.6515
1qf1_583   6.5912
1qf1_584   4.9163
1qf1_589   6.1734
1qf1_591   6.6034
1qf1_594   6.3854
1qf1_603   3.8864
1qf1_610   6.2437
1qf1_640   7.4332
1qf1_648   5.5393
1qf1_658   6.5779
1qf1_668   7.7584
1qf1_679   7.7670
1qf1_683   6.6806
1qf1_727   0.6383
1qf1_728   0.5972
1qf1_734   0.5570
1qf1_740   0.7159
1qf1_741   1.1287
1qf1_746   0.8401
1qf1_761   0.6806
1qf1_763   2.7691
1qf1_773   6.0814
1qf1_791   1.1030
1qf1_814   0.7706
1qf1_855   1.6279
1qf1_862   1.2462
1qf1_895   0.4532
1qf1_938   1.8395
1qf1_943   0.8668
1qf1_ligand   0.4123
